Molalit�t_NaCl;Molalit�t_KCl;Molalit�t_CaCl2;Druck in bar;Temperatur in K;dyn. Viskosit�t ?  in mPa�s;? in g/cm�;therm._LF in W/m/K
0.50052;0;0.250228;1;353.15;0.4453;1.01517;0
1.000532;0;0.500269;1;353.15;0.5069;1.05124;0
1.494273;0;0.747112;1;353.15;0.6092;1.08886;0
1.963936;0;0.981999;1;353.15;0.7148;1.12224;0
2.434396;0;1.217242;1;353.15;0.7671;1.15073;0
2.904099;0;1.452061;1;353.15;0.9249;1.18091;0
0.605785;0;0.201951;1;353.15;0.4448;1.01445;0
1.203891;0;0.401301;1;353.15;0.5008;1.05359;0
1.801202;0;0.600445;1;353.15;0.5684;1.09058;0
2.386591;0;0.79551;1;353.15;0.6325;1.12048;0
2.962269;0;0.987464;1;353.15;0.7164;1.15163;0
3.528811;0;1.176292;1;353.15;0.8111;1.17893;0
0.381608;0;0.31434;1;353.15;0.4969;1.01722;0
0.755841;0;0.622386;1;353.15;0.5069;1.05458;0
1.120155;0;0.9225;1;353.15;0.6367;1.09267;0
1.471588;0;1.211921;1;353.15;0.6851;1.12598;0
1.822351;0;1.50071;1;353.15;0.7512;1.15669;0
2.168757;0;1.786067;1;353.15;0.8588;1.18722;0
1.200854;0;0;1;353.15;0.4714;1.01956;0
2.399787;0;0;1;353.15;0.5486;1.0627;0
3.592996;0;0;1;353.15;0.577;1.10357;0
4.781198;0;0;1;353.15;0.7063;1.13394;0
5.961781;0;0;1;353.15;0.7344;1.16796;0
0;0;1.240167;1;353.15;0.5814;1.08392;0
0;0;2.376189;1;353.15;0.8823;1.17164;0
0;0;3.416446;1;353.15;1.1617;1.23241;0
0;0;4.374299;1;353.15;1.577;1.28497;0
0;0;5.262197;1;353.15;2.169;1.32965;0
