rho_meas/10kg/m³;p/bar;T/C;rho_calc
116.953;11.857100000000001;1.0582499999999999;1185.2666553236356
116.95699999999999;11.805199999999999;1.1212800000000001;1185.2990139077758
117.25700000000001;8.1537799999999994;6.1559100000000004;1187.6211848423613
117.514;8.1135300000000008;16.6328;1187.9761008816092
117.762;8.0851100000000002;27.109500000000001;1188.3233240759107
117.977;8.0550499999999996;37.5867;1188.6709594805827
118.10299999999999;8.0203699999999998;48.065100000000001;1189.0208044796977
118.09099999999999;8.9070499999999999;58.438099999999999;1188.819454176933
117.938;12.683400000000001;68.110500000000002;1186.920447434261
117.89;17.762899999999998;77.2774;1184.3226377694339
117.93300000000001;22.847000000000001;86.442999999999998;1181.7809887830942
117.98399999999999;27.9316;95.608400000000003;1179.2747338949498
118.023;33.069699999999997;104.73099999999999;1176.7571998223252
117.604;42.404400000000003;101.621;1171.545926870949
117.188;51.739400000000003;98.510900000000007;1166.3052462772919
116.764;59.392000000000003;92.991699999999994;1161.8706728305312
116.306;65.505200000000002;85.285600000000002;1158.1852690431494
115.792;71.615499999999997;77.580200000000005;1154.4698705636629
115.283;77.726100000000002;69.874700000000004;1150.7209998101039
114.995;83.847999999999999;62.1661;1146.9309379074798
115.145;89.992599999999996;54.4512;1143.0917087072262
113.86499999999999;95.557000000000002;46.557000000000002;1139.551816049752
113.036;91.966700000000003;38.283099999999997;1141.377949321791
113.285;83.632000000000005;33.289900000000003;1146.0649009702047
113.83199999999999;74.664699999999996;29.259699999999999;1151.0863898330081
114.40000000000001;65.698499999999996;25.229099999999999;1156.0408763109392
114.92700000000001;56.730200000000004;21.199200000000001;1160.9361475147402
115.404;47.759300000000003;17.169899999999998;1165.7823867138875
115.83799999999999;38.786099999999998;13.141299999999999;1170.5963818019261
116.235;29.8111;9.1132899999999992;1175.4071848211649
116.60299999999999;20.834599999999998;5.0856300000000001;1180.2662068401326
115.53;61.441699999999997;50.6494;1159.2966265528212
117.078;43.122300000000003;78.492500000000007;1170.3848433373012
114.032;82.165300000000002;45.244100000000003;1147.3237773296639
116.839;33.215400000000002;37.685499999999998;1174.4734535191158
116.947;20.6172;17.636500000000002;1180.79586672507
117.738;35.747300000000003;97.216399999999993;1175.0456229412021
115.508;55.276200000000003;36.5291;1162.2636175930681
115.017;71.482500000000002;58.644500000000001;1153.9018197687333
116.72499999999999;54.122900000000001;82.522099999999995;1164.4502781689339
117.378;30.5185;76.198599999999999;1177.2206559893045
117.542;33.862000000000002;86.526799999999994;1175.7263069709652
113.30200000000001;85.517799999999994;39.601199999999999;1145.1880173895149
114.45999999999999;88.716300000000004;47.627000000000002;1143.6021077190048
114.607;81.293999999999997;53.870199999999997;1148.1223465883713
113.996;75.971999999999994;38.395699999999998;1150.6508678252885
117.334;20.6525;32.395899999999997;1181.2546018765538
116.22799999999999;38.444899999999997;25.972799999999999;1171.2106888694234
117.065;28.2087;56.4602;1177.8449338704581
117.376;13.9902;21.893699999999999;1184.6953273946797
117.068;14.815799999999999;11.428100000000001;1183.8851108109018
116.63800000000001;23.397500000000001;11.411099999999999;1179.0385972297327
116.47;30.665199999999999;19.265999999999998;1175.2703125678263
115.02800000000001;58.5824;29.114799999999999;1160.1691796731625
114.63800000000001;66.514499999999998;35.1965;1155.9188983824943
115.718;48.299599999999998;28.946300000000001;1165.8785251820025
